,Noun Phrase,Frequency
0,the interior,62
1,the secretary,58
2,the state,51
3,energy,35
4,the department,33
5,a member,26
6,virginia,23
7,the united states,19
8,the environmental protection agency,19
9,maryland,17
10,agriculture,17
11,certain land,17
12,both,16
13,certain federal land,16
14,the federal energy regulatory commission,15
15,colorado,14
16,director,14
17,new mexico,14
18,an assistant secretary,13
19,a study,13
20,land management,12
21,the nuclear regulatory commission,11
22,department,11
23,oregon,11
24,utah,11
25,wyoming,10
26,the bureau,10
27,nevada,10
28,texas,10
29,secretary,10
30,california,10
31,florida,10
32,an assistant administrator,10
33,deputy secretary,9
34,tennessee,9
35,united states code,9
36,ohio,8
37,the forest service,8
38,development,8
39,the transfer,8
40,entry,8
41,that,8
42,wildlife,7
43,north dakota,7
44,the district,7
45,the boundary,7
46,operation,7
47,the use,7
48,the federal power act,7
49,the national park system,7
50,the feasibility,7
51,assistant secretary,6
52,fish,6
53,opportunities,6
54,the board,6
55,directors,6
56,the tennessee valley authority,6
57,states,6
58,energy efficiency,6
59,columbia,6
60,administrative jurisdiction,6
61,wilderness,6
62,management,6
63,bills,6
64,the wild and scenic rivers act,6
65,the impacts,5
66,inspector general,5
67,katharine macgregor,5
68,pennsylvania,5
69,the office,5
70,arizona,5
71,the energy policy act,5
72,demonstration,5
73,public land,5
74,a project,5
75,"municipal, rural, and industrial water",5
76,land,5
77,the federal land policy and management act,5
78,units,5
79,public lands,4
80,robert wallace,4
81,south carolina,4
82,nuclear energy,4
83,all,4
84,lanny erdos,4
85,surface mining reclamation,4
86,enforcement,4
87,transportation,4
88,washington,4
89,the states,4
90,montana,4
91,the omnibus public land management act,4
92,the energy independence and security act,4
93,the administrator,4
94,the national forest system land,4
95,the humboldt-toiyabe national forest,4
96,elko,4
97,white pine counties,4
98,federal land,4
99,a report,4
100,the maintenance,4
101,the santa monica mountains national recreation area,4
102,the rim,4
103,the valley corridor,4
104,national recreation areas,4
105,curry county,4
106,josephine county,4
107,all forms,4
108,appropriation,4
109,disposal,4
110,the public land laws,4
111,location,4
112,patent,4
113,the mining laws,4
114,the mineral leasing and geothermal leasing laws,4
115,projects,4
116,renewable energy,4
117,funds,4
118,the united states fish and wildlife service,4
119,environmental protection agency,4
120,conservation,4
121,the mineral leasing act,4
122,the city,4
123,the national forest system,4
124,the john d. dingell,4
125,jr. conservation,4
126,recreation act,4
127,who,4
128,the national mall,4
129,a component,4
130,new york,4
131,the colorado wilderness act,4
132,the sarvis creek wilderness,4
133,the national wild and scenic rivers system,4
134,olympic national forest,4
135,south dakota,4
136,david lacerte,4
137,louisiana,4
138,kyle haustveit,4
139,joshua tree national park,4
140,jeffrey hall,4
141,a commemorative work,4
142,honor,4
143,the definition,4
144,assistant administrator,4
145,alabama,4
146,administrator,4
147,oklahoma,4
148,kentucky,3
149,solicitor,3
